Name,Time,Hub,Commercial,Residential,Tourism
Gombak,3,2,1,3,0
Taman Melati,4,0,1,3,0
Wangsa Maju,2,0,1,3,0
Sri Rampai,6,0,1,2,0
Setiawangsa,2,0,1,3,0
Jelatek,1,0,1,3,0
Dato' Keramat,1,0,1,2,0
Damai,2,0,1,2,0
Ampang Park,1,4,3,1,0
KLCC,2,0,5,0,3
Kampung Baru,2,0,3,2,0
Dang Wangi,2,0,3,1,0
Masjid Jamek,1,1,1,0,2
Pasar Seni,3,5,3,1,5
KL Sentral,2,4,3,0,0
Bangsar,3,0,3,2,0
Abdullah Hukum,1,0,4,1,1
Kerinchi,2,0,3,3,0
Universiti,4,0,3,3,0
Taman Jaya,2,0,5,1,0
Asia Jaya,3,0,5,1,0
Taman Paramount,3,0,2,2,0
Taman Bahagia,2,0,2,2,0
Kelana Jaya,3,0,3,4,0
Lembah Subang,2,0,2,4,0
Ara Damansara,3,0,2,5,0
Glenmarie,1,0,3,1,0
Subang Jaya,4,1,3,3,0
SS 15,2,0,3,3,0
SS 18,3,0,2,3,0
USJ 7,1,1,2,3,0
Taipan,3,0,2,3,0
Wawasan,2,0,2,3,0
USJ 21,3,0,2,3,0
Alam Megah,3,0,2,3,0
Subang Alam,4,0,1,3,0
Putra Heights,0,2,2,3,0
